504 0.012625
0.353539 0.164861 0.353301
0.402062 0.168426 0.353001
0.451351 0.165689 0.355303
0.500159 0.16504 0.357262
0.548058 0.166411 0.356386
0.596074 0.166152 0.353914
0.353916 0.168868 0.402296
0.402719 0.172829 0.402175
0.451341 0.168993 0.403359
0.499154 0.168468 0.40412
0.548801 0.170109 0.402964
0.595793 0.170299 0.402471
0.354019 0.165757 0.450677
0.40296 0.170411 0.451325
0.451635 0.164654 0.451927
0.499319 0.163528 0.451916
0.54767 0.166603 0.451595
0.595989 0.16838 0.451368
0.355323 0.165107 0.499809
0.403724 0.16996 0.498976
0.45188 0.164335 0.49872
0.499522 0.163137 0.498975
0.547214 0.166339 0.498952
0.595793 0.167175 0.499106
0.355014 0.166748 0.547441
0.403564 0.172116 0.547848
0.452128 0.167967 0.547033
0.499354 0.166493 0.546937
0.547137 0.168998 0.547481
0.596374 0.167598 0.547094
0.3539 0.164449 0.596216
0.401482 0.172266 0.597027
0.451561 0.167714 0.59605
0.499553 0.163428 0.594833
0.547733 0.167217 0.594573
0.597032 0.169193 0.595297
0.381298 0.176685 0.384665
0.35988 0.166839 0.596431
0.392936 0.171479 0.503377
0.54405 0.165783 0.493876
0.463376 0.168679 0.564444
0.552162 0.169522 0.365531
0.374221 0.17401 0.586851
0.363959 0.166192 0.608388
0.6377 0.162582 0.47866
0.474425 0.170902 0.3718
0.643387 0.160147 0.643583
0.588381 0.170147 0.585505
0.50833 0.168164 0.574584
0.494698 0.164299 0.517456
0.55116 0.165749 0.474277
0.640998 0.161973 0.460131
0.370233 0.17246 0.543901
0.37322 0.171348 0.35443
0.535543 0.162347 0.609164
0.392262 0.172317 0.597158
0.413747 0.173579 0.577571
0.44642 0.168621 0.549573
0.366191 0.171966 0.556876
0.516993 0.167062 0.553659
0.388593 0.165779 0.630678
0.618448 0.164252 0.564582
0.515727 0.164887 0.524233
0.455144 0.168296 0.587583
0.612341 0.167417 0.589333
0.46737 0.163092 0.498915
0.481401 0.158647 0.614284
0.608538 0.166501 0.569
0.540252 0.164839 0.481448
0.637615 0.162809 0.597127
0.514277 0.161131 0.604397
0.362324 0.171136 0.407847
0.380931 0.174502 0.578822
0.386797 0.17196 0.441672
0.576459 0.171998 0.57244
0.599238 0.168285 0.442679
0.465311 0.162641 0.45659
0.549649 0.169075 0.36665
0.479216 0.164674 0.58768
0.467844 0.159017 0.622125
0.53269 0.16507 0.51431
0.506965 0.163024 0.49827
0.555606 0.163147 0.626629
0.562811 0.168546 0.420523
0.477594 0.160607 0.48048
0.58089 0.168288 0.519256
0.439488 0.168106 0.544592
0.406677 0.17098 0.544129
0.617154 0.168946 0.419369
0.398041 0.168291 0.626467
0.572477 0.171654 0.563017
0.475193 0.160776 0.466211
0.398373 0.172843 0.587619
0.500141 0.161665 0.480522
0.411187 0.172549 0.565012
0.569054 0.168144 0.429866
0.465665 0.163076 0.450108
0.35745 0.16604 0.534081
0.588552 0.169941 0.574818
0.375823 0.169894 0.610491
0.548251 0.15899 0.632952
0.623537 0.167946 0.462679
0.596631 0.168898 0.420446
0.523028 0.166061 0.581974
0.453417 0.169701 0.575782
0.366177 0.171051 0.552528
0.466356 0.16828 0.568969
0.600619 0.168653 0.595246
0.382022 0.17193 0.463629
0.384778 0.171597 0.464306
0.418422 0.171287 0.374499
0.612799 0.16782 0.447801
0.622551 0.168158 0.437863
0.535129 0.168685 0.372057
0.604561 0.167432 0.459125
0.599875 0.167241 0.571834
0.533382 0.167686 0.568083
0.39421 0.170392 0.468733
0.50625 0.168341 0.396108
0.57386 0.168668 0.52293
0.449169 0.168671 0.397501
0.626046 0.167952 0.383755
0.540706 0.164724 0.499183
0.406835 0.172752 0.572455
0.52383 0.161458 0.600416
0.384592 0.171513 0.495892
0.481803 0.162328 0.446267
0.631082 0.164888 0.474748
0.608961 0.165696 0.494924
0.511928 0.164486 0.531595
0.505759 0.162028 0.465276
0.564524 0.166117 0.471836
0.447797 0.165524 0.616387
0.358611 0.16772 0.360961
0.541297 0.167177 0.420486
0.53395 0.165706 0.437586
0.48669 0.162868 0.593974
0.46597 0.167464 0.403605
0.513415 0.162781 0.49931
0.640988 0.159824 0.365398
0.401719 0.171329 0.366474
0.618356 0.16779 0.451397
0.635643 0.161391 0.362794
0.44965 0.163235 0.467302
0.384006 0.159842 0.639883
0.384408 0.170699 0.486919
0.553151 0.164531 0.467732
0.625975 0.166375 0.452758
0.48982 0.164514 0.420082
0.520267 0.168312 0.376676
0.439099 0.166654 0.620243
0.439967 0.164269 0.51975
0.535621 0.159614 0.620254
0.573351 0.166558 0.438904
0.458064 0.162641 0.452481
0.586018 0.167254 0.627505
0.419955 0.170081 0.604298
0.380852 0.171394 0.537924
0.64279 0.16081 0.454093
0.408899 0.170138 0.600118
0.430681 0.164487 0.495755
0.369504 0.170927 0.364117
0.390685 0.167996 0.618614
0.496573 0.160712 0.483349
0.528821 0.167009 0.404804
0.523494 0.164394 0.58295
0.600591 0.167097 0.364155
0.559105 0.166233 0.513412
0.431435 0.164406 0.493095
0.362609 0.167128 0.481577
0.495242 0.165017 0.553137
0.400698 0.170746 0.554771
0.426307 0.168699 0.554513
0.598761 0.165566 0.634018
0.429645 0.170451 0.57918
0.471215 0.162418 0.437766
0.641781 0.161202 0.451071
0.579163 0.162355 0.640618
0.516593 0.163478 0.446414
0.588574 0.166773 0.629251
0.386321 0.169056 0.526643
0.385397 0.169204 0.509616
0.397096 0.170164 0.560324
0.638179 0.161602 0.457482
0.357069 0.16705 0.399761
0.505268 0.167679 0.380082
0.564711 0.164837 0.490087
0.569229 0.164802 0.468168
0.536534 0.167237 0.387224
0.46189 0.165087 0.409897
0.410483 0.166103 0.508428
0.597543 0.166107 0.439317
0.394257 0.168071 0.520167
0.425033 0.167194 0.401561
0.457043 0.165355 0.409314
0.41112 0.16615 0.628293
0.626334 0.166766 0.390242
0.359768 0.164145 0.528173
0.591684 0.164813 0.498719
0.36204 0.165528 0.492354
0.447656 0.165395 0.601829
0.536541 0.155863 0.633505
0.405306 0.169248 0.555352
0.554586 0.166778 0.555587
0.412738 0.168713 0.370093
0.367426 0.165961 0.600835
0.44981 0.166682 0.398457
0.558254 0.168492 0.382128
0.365905 0.166374 0.514534
0.442532 0.168247 0.573418
0.63552 0.162051 0.368152
0.589128 0.164894 0.508377
0.592389 0.164761 0.533288
0.539228 0.164543 0.538121
0.39927 0.167761 0.528721
0.439038 0.16302 0.498521
0.384742 0.168845 0.412397
0.385001 0.167965 0.532409
0.532268 0.163273 0.365133
0.360685 0.164302 0.462236
0.515023 0.165731 0.383625
