4284 0.012625
0.38145 0.545273 0.400374
0.42948 0.553458 0.302906
0.48742 0.555096 0.312906
0.494391 0.565878 0.320557
0.506638 0.581985 0.307431
0.573594 0.508331 0.314999
0.322029 0.54442 0.421619
0.390276 0.625981 0.372987
0.457938 0.54218 0.33039
0.490486 0.238059 0.312638
0.534037 0.581708 0.346293
0.611999 0.54446 0.362737
0.277783 0.539776 0.470032
0.340785 0.477562 0.474976
0.360429 0.395697 0.355575
0.522075 0.459745 0.241896
0.630492 0.383454 0.393151
0.66797 0.501386 0.478356
0.29143 0.576335 0.475787
0.325651 0.328784 0.489989
0.239324 0.515238 0.523048
0.580545 0.719596 0.530628
0.728333 0.424707 0.51794
0.658979 0.210969 0.494628
0.283251 0.569431 0.499664
0.331394 0.611108 0.530129
0.425028 0.451216 0.596208
0.495068 0.389502 0.71419
0.587009 0.387385 0.584404
0.646198 0.432203 0.505006
0.362092 0.566947 0.578982
0.353804 0.528633 0.632966
0.449818 0.5674 0.690758
0.493219 0.258197 0.671239
0.511397 0.451486 0.632502
0.621148 0.586117 0.618026
0.374523 0.564235 0.376501
0.360068 0.562306 0.581649
0.32159 0.215954 0.493592
0.742597 0.445567 0.496509
0.456457 0.532898 0.634706
0.495698 0.588361 0.327761
0.312773 0.544353 0.578594
0.366474 0.551967 0.590518
0.714254 0.524366 0.500198
0.493316 0.488147 0.356628
0.600897 0.553217 0.61272
0.620994 0.624993 0.581621
0.502798 0.268077 0.679363
0.556571 0.630636 0.709914
0.675218 0.393528 0.435821
0.717259 0.509381 0.474547
0.330468 0.572671 0.50087
0.394244 0.544299 0.371815
0.499109 0.385985 0.643851
0.344758 0.522603 0.626216
0.367408 0.619273 0.609267
0.422377 0.456658 0.582979
0.295435 0.594367 0.48863
0.540971 0.362648 0.67464
0.392989 0.541937 0.605806
0.685548 0.575239 0.524216
0.627982 0.44836 0.668843
0.464845 0.558097 0.67997
0.651817 0.571904 0.581017
0.322539 0.690852 0.541528
0.492328 0.481056 0.642397
0.685225 0.573525 0.545956
0.732967 0.469512 0.424456
0.656531 0.550959 0.580895
0.497514 0.299511 0.660762
0.315576 0.563485 0.423388
0.300042 0.557659 0.567996
0.338313 0.471263 0.479785
0.598767 0.612823 0.555083
0.679781 0.546129 0.462346
0.367702 0.444272 0.314894
0.49601 0.581489 0.333252
0.483444 0.270936 0.674423
0.484554 0.559131 0.693761
0.677057 0.438237 0.60016
0.630944 0.703818 0.523455
0.525475 0.549728 0.70789
0.569701 0.639875 0.404016
0.412001 0.694098 0.349573
0.673913 0.206589 0.513067
0.406743 0.450502 0.561728
0.330945 0.606552 0.535068
0.689391 0.566523 0.442371
0.387515 0.529478 0.615897
0.602372 0.56591 0.547874
0.368748 0.547387 0.275974
0.344401 0.542871 0.627264
0.580569 0.682945 0.345018
0.370503 0.627315 0.559964
0.594894 0.628817 0.43485
0.397142 0.424472 0.322897
0.290728 0.584556 0.478868
0.635404 0.601143 0.55136
0.363154 0.525978 0.601403
0.521275 0.541986 0.70683
0.662658 0.439511 0.490221
0.650457 0.566166 0.384579
0.512773 0.255419 0.67274
0.454618 0.597883 0.661181
0.302095 0.595882 0.486463
0.463276 0.517797 0.642366
0.62513 0.584991 0.610306
0.336784 0.272159 0.479214
0.337123 0.245837 0.479177
0.454766 0.572332 0.308626
0.661272 0.357798 0.478381
0.666141 0.506189 0.486365
0.501111 0.489926 0.355869
0.667639 0.279339 0.473897
