2592 0.012625
0.387164 0.365283 0.390791
0.455029 0.280751 0.33985
0.473357 0.210002 0.342507
0.491924 0.206555 0.350312
0.506054 0.230228 0.353002
0.529259 0.298305 0.349833
0.347831 0.294842 0.451175
0.377122 0.286395 0.375632
0.430633 0.270492 0.298618
0.500684 0.245289 0.27985
0.566862 0.278086 0.322557
0.598332 0.294675 0.392476
0.335311 0.260264 0.472616
0.302869 0.259596 0.42831
0.386823 0.455076 0.378072
0.507193 0.46271 0.36491
0.644551 0.437275 0.394359
0.682017 0.235885 0.437301
0.342945 0.232076 0.484689
0.289059 0.251965 0.508129
0.389866 0.475268 0.504566
0.516318 0.476875 0.50232
0.659274 0.439139 0.50996
0.700748 0.211989 0.503895
0.349332 0.255521 0.504388
0.342361 0.262143 0.565788
0.391146 0.402569 0.662519
0.500838 0.425206 0.671635
0.629341 0.396685 0.634632
0.667808 0.218835 0.551874
0.362296 0.329471 0.551807
0.404805 0.296722 0.586469
0.443974 0.237857 0.657804
0.497809 0.220828 0.693931
0.554964 0.237785 0.680008
0.604685 0.273931 0.592314
0.397072 0.310062 0.396774
0.366939 0.32803 0.550388
0.296357 0.223373 0.506894
0.642455 0.449038 0.497724
0.42485 0.310737 0.69888
0.515658 0.209259 0.354142
0.375738 0.292521 0.539896
0.376909 0.344717 0.56349
0.658312 0.244691 0.486814
0.476178 0.171852 0.34627
0.594139 0.325254 0.592621
0.617361 0.257674 0.599903
0.511487 0.271619 0.723638
0.506169 0.474656 0.558096
0.676129 0.426597 0.456152
0.659895 0.253058 0.47665
0.347641 0.21397 0.515532
0.419464 0.350991 0.371211
0.522865 0.212343 0.672465
0.40058 0.300375 0.571479
0.381685 0.259065 0.599365
0.372735 0.385073 0.66027
0.352719 0.233795 0.517176
0.541725 0.397577 0.688936
0.412622 0.33107 0.615307
0.638301 0.219621 0.534208
0.55832 0.462858 0.578829
0.437732 0.238923 0.669763
0.623643 0.260139 0.561154
0.443383 0.480402 0.50228
0.484741 0.199752 0.659243
0.638671 0.234816 0.547068
0.621571 0.458952 0.468748
0.625765 0.274724 0.545947
0.50969 0.216657 0.683836
0.349013 0.269304 0.448822
0.374327 0.278458 0.544024
0.321231 0.229585 0.438574
0.631059 0.267856 0.613063
0.670155 0.235571 0.43043
0.432735 0.467372 0.387454
0.515736 0.205039 0.352849
0.471668 0.220747 0.694559
0.477157 0.211151 0.649834
0.60713 0.457437 0.546927
0.533236 0.475714 0.500939
0.520311 0.243682 0.644692
0.624062 0.29618 0.349847
0.468125 0.478662 0.454737
0.707692 0.236951 0.538639
0.342459 0.379995 0.633301
0.339413 0.271067 0.563586
0.644152 0.229519 0.432348
0.422422 0.321139 0.616107
0.649369 0.284562 0.616342
0.458897 0.476269 0.415479
0.396078 0.289143 0.573937
0.516183 0.47768 0.45649
0.357871 0.257167 0.597879
0.648717 0.297379 0.366384
0.431085 0.458407 0.363545
0.350062 0.232411 0.49857
0.637444 0.251197 0.591489
0.395183 0.337132 0.569966
0.516041 0.249181 0.652766
0.664537 0.207801 0.470081
0.630918 0.2725 0.407338
0.534601 0.256642 0.71751
0.420266 0.271032 0.670533
0.351907 0.227688 0.514606
0.431991 0.287594 0.699267
0.609706 0.27424 0.586908
0.318863 0.182198 0.462227
0.310693 0.188043 0.459801
0.448224 0.240989 0.338014
0.673071 0.206138 0.449266
0.657647 0.202289 0.451259
0.514192 0.191319 0.341076
0.686388 0.215894 0.453343
0.639359 0.242535 0.564669
0.571846 0.308392 0.696863
0.292658 0.213152 0.455823
0.509343 0.223033 0.288805
0.702567 0.262974 0.549529
0.434308 0.25108 0.303535
0.602058 0.283713 0.415522
0.62844 0.454635 0.508077
0.37232 0.252007 0.591358
0.521937 0.225711 0.698567
0.305553 0.191769 0.493094
0.465754 0.452984 0.339376
0.66317 0.230379 0.48176
0.681448 0.196075 0.495122
0.544215 0.458781 0.603439
0.523624 0.475077 0.41622
0.720845 0.326166 0.451129
0.457429 0.249614 0.641116
0.393774 0.35636 0.393716
0.590488 0.320077 0.304008
0.58936 0.396554 0.316617
0.482873 0.216953 0.690192
0.448359 0.247138 0.287288
0.548314 0.473451 0.503785
0.589528 0.323732 0.403739
0.44868 0.273188 0.34667
0.667508 0.199889 0.457381
0.580023 0.322856 0.398961
0.380282 0.469409 0.423906
0.408388 0.331677 0.622355
0.305267 0.183517 0.483405
0.681678 0.417347 0.442326
0.659837 0.21121 0.464444
0.483285 0.313911 0.261219
0.50958 0.187392 0.326903
0.450319 0.274543 0.634501
0.332373 0.434127 0.563877
0.514977 0.212842 0.649339
0.674066 0.291412 0.386102
0.411996 0.460975 0.377843
0.537241 0.258527 0.634307
0.417624 0.279252 0.616637
0.331556 0.221617 0.526574
0.658677 0.253657 0.472991
0.409354 0.292283 0.599536
0.275534 0.3714 0.500447
0.410372 0.346717 0.385192
0.412842 0.319096 0.600269
0.508978 0.478166 0.463306
0.547081 0.271829 0.293391
0.534777 0.256724 0.717124
0.536942 0.290337 0.362313
0.71037 0.365938 0.537202
0.276569 0.375733 0.494198
0.345503 0.218246 0.47831
0.490756 0.394732 0.697559
0.345508 0.251031 0.57333
0.332665 0.300988 0.612448
0.544633 0.273373 0.632957
0.385789 0.273671 0.623764
0.438521 0.406929 0.302744
0.657584 0.250674 0.470609
0.531633 0.281607 0.648011
0.544872 0.44213 0.336511
0.538481 0.262339 0.634821
0.317167 0.228694 0.527883
0.307773 0.21105 0.507968
0.351068 0.243596 0.57365
0.660202 0.244223 0.473243
0.350488 0.290923 0.447135
0.500552 0.187232 0.317788
0.725184 0.325462 0.488873
0.716723 0.301604 0.445603
0.529994 0.230178 0.31387
0.438631 0.282633 0.285308
0.288454 0.2788 0.522183
0.664759 0.243955 0.424546
0.309232 0.243276 0.531315
0.394461 0.283391 0.340854
0.432451 0.287432 0.288804
0.43259 0.314081 0.623734
0.611242 0.28203 0.422523
0.349011 0.215297 0.498677
0.70653 0.221256 0.504587
