5292 0.012625
0.387535 0.71522 0.409685
0.402979 0.623771 0.305281
0.490147 0.668302 0.243947
0.505787 0.679089 0.246779
0.523245 0.641676 0.248784
0.579771 0.60555 0.330014
0.318433 0.676077 0.410691
0.348328 0.658944 0.348427
0.422902 0.693335 0.294394
0.484156 0.195619 0.305689
0.575166 0.686408 0.289019
0.598886 0.627214 0.370211
0.265473 0.653578 0.468937
0.28489 0.723528 0.4836
0.398831 0.459242 0.390179
0.512796 0.507306 0.309605
0.587682 0.514434 0.423943
0.728457 0.666841 0.460975
0.243908 0.643796 0.461987
0.321121 0.382972 0.486635
0.297969 0.530719 0.511016
0.686622 0.790492 0.588997
0.665169 0.545759 0.51042
0.662206 0.198644 0.494956
0.25912 0.629892 0.504464
0.264067 0.663965 0.569009
0.451584 0.719087 0.610364
0.496496 0.477144 0.652778
0.563151 0.638439 0.557765
0.697797 0.694042 0.522238
0.362021 0.675726 0.598978
0.37034 0.563352 0.615723
0.424127 0.612979 0.705676
0.491909 0.240283 0.688639
0.535636 0.720502 0.676887
0.633447 0.593307 0.635233
0.376851 0.679434 0.393901
0.363499 0.668509 0.599208
0.342358 0.18075 0.488344
0.676008 0.510532 0.495203
0.429452 0.731078 0.678482
0.508738 0.690349 0.245246
0.323868 0.598171 0.580817
0.374404 0.661261 0.602586
0.721099 0.60202 0.506349
0.508203 0.73077 0.298379
0.609735 0.643264 0.631248
0.669994 0.634687 0.637626
0.501417 0.252826 0.691739
0.570722 0.574519 0.738523
0.632547 0.572386 0.462108
0.703821 0.606708 0.469032
0.250383 0.704991 0.513772
0.403105 0.688313 0.382567
0.513943 0.642526 0.642861
0.362607 0.54973 0.6103
0.329965 0.617987 0.625479
0.445139 0.734003 0.592529
0.234295 0.647883 0.480792
0.526052 0.485833 0.625297
0.396846 0.681617 0.617598
0.733962 0.631642 0.552281
0.5807 0.474892 0.621279
0.439008 0.62889 0.724685
0.664804 0.603784 0.613966
0.24266 0.653832 0.582585
0.500132 0.720661 0.701672
0.705952 0.601023 0.57777
