1080 0.012625
0.352141 0.198164 0.351942
0.406006 0.204781 0.335944
0.455389 0.203624 0.33825
0.500831 0.205126 0.339744
0.542853 0.20741 0.336967
0.59256 0.20814 0.339861
0.337165 0.209421 0.405163
0.395554 0.239891 0.393931
0.452604 0.236643 0.389963
0.498868 0.234558 0.390519
0.550333 0.237795 0.390797
0.606666 0.233325 0.394825
0.335365 0.195729 0.453243
0.390095 0.239419 0.452411
0.453213 0.230924 0.453176
0.498423 0.226916 0.45236
0.54949 0.234477 0.452065
0.610808 0.231121 0.453967
0.341953 0.201835 0.499911
0.390673 0.238144 0.497313
0.455068 0.228451 0.495332
0.499763 0.223669 0.49667
0.548494 0.231571 0.497599
0.611898 0.226728 0.498762
0.339804 0.206852 0.543837
0.391631 0.242211 0.550777
0.455553 0.23747 0.548994
0.498965 0.232692 0.547742
0.547931 0.238717 0.547417
0.614581 0.22823 0.544579
0.344895 0.197356 0.595824
0.389605 0.228852 0.61273
0.452047 0.225938 0.612611
0.499837 0.219515 0.605991
0.544381 0.23038 0.605749
0.608103 0.231067 0.600611
0.367291 0.235558 0.369493
0.347749 0.202843 0.599528
0.374078 0.239189 0.502863
0.544967 0.230272 0.492654
0.464755 0.238646 0.575507
0.549489 0.218891 0.341329
0.352366 0.221892 0.599402
0.357033 0.201416 0.613198
0.652878 0.195529 0.481102
0.474966 0.222895 0.343417
0.634775 0.195273 0.634924
0.60282 0.236544 0.591872
0.50619 0.235047 0.586869
0.49567 0.226601 0.515562
0.552819 0.230348 0.474326
0.653496 0.195701 0.46487
0.344453 0.22575 0.546341
0.368408 0.208621 0.340248
0.531144 0.215199 0.617329
0.37793 0.22608 0.612728
0.402251 0.241612 0.590748
0.449679 0.239166 0.551744
0.341593 0.220586 0.559646
0.516012 0.233972 0.554611
0.388462 0.199567 0.64105
0.636302 0.215213 0.560018
0.51593 0.228205 0.522104
0.456068 0.229971 0.605025
0.628449 0.223504 0.588766
0.470183 0.22395 0.496103
0.48366 0.203591 0.622085
