3636 0.012625
0.373517 0.464913 0.380037
0.454319 0.469878 0.319362
0.484857 0.387288 0.334591
0.489573 0.398196 0.343841
0.494811 0.451847 0.338077
0.548293 0.460779 0.315549
0.321475 0.477843 0.437697
0.421242 0.513881 0.406542
0.457023 0.378325 0.340705
0.495738 0.24361 0.313083
0.52785 0.422266 0.359969
0.60445 0.502586 0.382165
0.30034 0.454446 0.474541
0.340236 0.332657 0.46186
0.332117 0.421636 0.325468
0.521303 0.502214 0.246991
0.675689 0.384957 0.359323
0.654273 0.334897 0.469994
0.325318 0.437565 0.482255
0.322304 0.285346 0.495241
0.275436 0.548668 0.517352
0.542461 0.627367 0.515619
0.750592 0.435088 0.523663
0.659246 0.204782 0.495135
0.318781 0.476876 0.495267
0.365616 0.464418 0.519229
0.390357 0.361701 0.630734
0.500287 0.398224 0.745928
0.621813 0.340878 0.622658
0.644649 0.305569 0.509172
0.356645 0.483505 0.566283
0.384683 0.518829 0.616492
0.468958 0.432713 0.652878
0.492002 0.242917 0.66716
0.51679 0.312889 0.645661
0.581028 0.521513 0.57672
0.38173 0.514207 0.379588
0.353753 0.485777 0.568218
0.3246 0.228256 0.494957
0.745499 0.463599 0.50001
0.444474 0.36667 0.63529
0.492692 0.420419 0.355939
0.33467 0.507139 0.550173
0.3611 0.483354 0.584083
0.68578 0.439589 0.495818
0.486956 0.323932 0.365804
0.593633 0.478445 0.597869
0.576766 0.493951 0.544458
0.503187 0.256665 0.684513
0.530299 0.604057 0.637353
0.726463 0.380484 0.423029
0.695632 0.442148 0.483405
0.350146 0.398199 0.494941
0.397093 0.473732 0.356118
0.501352 0.289628 0.649115
0.371321 0.518332 0.608706
0.416856 0.527675 0.568255
0.387529 0.357424 0.615683
0.337109 0.464305 0.491972
0.556008 0.34615 0.711158
0.39024 0.464772 0.617989
0.648462 0.436956 0.508397
0.628767 0.497797 0.667198
0.470412 0.387111 0.647763
0.62835 0.491721 0.546962
0.390899 0.627601 0.517543
0.488512 0.323931 0.646362
0.648724 0.456626 0.520582
0.726997 0.502802 0.441333
0.646367 0.480142 0.551258
0.496819 0.25889 0.659121
0.327987 0.480018 0.448844
0.337897 0.517351 0.539705
0.3393 0.32593 0.470257
0.578057 0.436619 0.546933
0.652115 0.383519 0.469843
0.366476 0.486911 0.299273
0.49328 0.407102 0.358174
0.479878 0.251171 0.670481
0.488647 0.402825 0.655672
0.689774 0.472237 0.602642
0.574321 0.624378 0.511521
0.514639 0.457896 0.666047
0.557078 0.452781 0.421075
0.446051 0.631095 0.407804
0.674979 0.223041 0.518024
0.374304 0.349378 0.595332
0.363235 0.466127 0.522507
0.65561 0.455418 0.466494
0.391513 0.473171 0.62915
0.594176 0.393937 0.552759
0.409592 0.577969 0.318783
0.379098 0.529726 0.601339
0.544935 0.624186 0.407471
0.402561 0.469759 0.54096
0.581998 0.436262 0.435489
0.37653 0.444536 0.28722
0.329245 0.453441 0.486025
0.605289 0.447313 0.536258
0.360222 0.484605 0.601748
0.513248 0.447202 0.670676
0.659012 0.308679 0.48176
0.628733 0.507233 0.423738
0.517234 0.246954 0.67608
0.460131 0.435707 0.626364
0.339942 0.450751 0.490814
0.454027 0.353594 0.643491
0.588559 0.517716 0.57019
0.351545 0.234529 0.475221
