4788 0.012625
0.38784 0.63097 0.409953
0.408952 0.590563 0.300886
0.487909 0.637106 0.27841
0.499301 0.647948 0.285594
0.518596 0.630636 0.270716
0.578916 0.548462 0.323971
0.325042 0.615735 0.418635
0.363615 0.653449 0.353416
0.441798 0.640348 0.312029
0.486359 0.222249 0.306867
0.55724 0.659158 0.318743
0.605509 0.576192 0.365505
0.27 0.594402 0.468572
0.324419 0.626194 0.482804
0.383277 0.414816 0.377333
0.515631 0.464649 0.276762
0.608938 0.430474 0.412764
0.696652 0.621825 0.473844
0.256916 0.6322 0.467493
0.324595 0.357711 0.488601
0.261936 0.501763 0.516261
0.627391 0.771586 0.552984
0.696218 0.456053 0.511103
0.662378 0.208203 0.495594
0.258972 0.607294 0.5051
0.29168 0.665035 0.551705
0.44295 0.583085 0.592562
0.494943 0.420268 0.681164
0.567219 0.489249 0.563512
0.662096 0.571793 0.512845
0.364294 0.625269 0.587609
0.356745 0.53386 0.62496
0.430132 0.599588 0.712064
0.492425 0.255013 0.679027
0.519753 0.601144 0.643117
0.632545 0.589805 0.633967
0.376972 0.620194 0.388203
0.363869 0.617862 0.589323
0.327472 0.192786 0.492551
0.713207 0.455706 0.492682
0.449909 0.653752 0.655916
0.502052 0.66456 0.288269
0.315939 0.562032 0.585363
0.37184 0.607584 0.594182
0.724709 0.560787 0.505634
0.500943 0.633103 0.333869
0.604335 0.601464 0.623341
0.65426 0.648379 0.616585
0.5018 0.265863 0.684155
0.572935 0.607952 0.742389
0.649243 0.459089 0.449631
0.714052 0.545502 0.469536
0.294577 0.668729 0.506642
0.399664 0.613569 0.380401
0.502873 0.498537 0.636301
0.348057 0.523648 0.620332
0.339231 0.62602 0.62432
0.440645 0.593357 0.577052
0.255523 0.644016 0.485893
0.531009 0.408813 0.648974
0.395773 0.614022 0.607106
0.71906 0.619256 0.543211
0.603563 0.440347 0.645229
0.450577 0.618651 0.713737
0.661062 0.596503 0.604802
0.26895 0.690109 0.567848
0.495358 0.625696 0.665014
0.707707 0.597603 0.571266
0.696154 0.469523 0.431098
0.661626 0.579103 0.601196
0.498915 0.326164 0.66357
0.313638 0.61701 0.41382
0.297594 0.563524 0.573393
0.326744 0.617845 0.488437
0.63253 0.686313 0.586753
0.700894 0.612826 0.442748
0.390274 0.447707 0.341151
0.501827 0.668729 0.2956
0.483265 0.271922 0.682612
0.480542 0.601115 0.731336
0.644774 0.45059 0.579473
0.690356 0.734366 0.538144
0.532437 0.567237 0.726256
0.598933 0.702347 0.366305
0.376137 0.691173 0.3029
0.667933 0.188051 0.510938
0.416999 0.589877 0.551992
0.294592 0.657589 0.557261
0.697812 0.599929 0.419142
0.394337 0.592003 0.61132
0.62559 0.67311 0.566998
0.372607 0.506586 0.2867
0.342657 0.53541 0.625314
0.615445 0.679244 0.297641
0.338756 0.675746 0.583895
0.626735 0.705951 0.401181
0.418462 0.469336 0.351401
0.25332 0.636492 0.470946
0.666328 0.653572 0.581084
0.37365 0.5734 0.596158
0.526454 0.569532 0.724019
0.67388 0.579914 0.496345
0.639438 0.575862 0.372248
0.51034 0.249052 0.678221
0.430457 0.657929 0.692651
0.259797 0.655101 0.481798
0.456843 0.645292 0.667298
0.636338 0.593745 0.627785
0.328221 0.285714 0.481252
0.328735 0.247825 0.482
0.433992 0.627546 0.291121
0.652509 0.439115 0.482068
0.694514 0.625958 0.487006
0.508922 0.632714 0.336041
0.67285 0.296336 0.473664
0.690819 0.616535 0.577221
0.534331 0.6053 0.646153
0.343109 0.211181 0.47959
0.488042 0.19757 0.336469
0.637665 0.455164 0.503268
0.457825 0.628901 0.296667
0.623338 0.527876 0.372572
0.721681 0.461061 0.522629
0.329512 0.641027 0.598176
0.501141 0.229334 0.677065
0.333987 0.246397 0.491379
0.45027 0.483865 0.319673
0.722467 0.591822 0.500404
0.668847 0.283401 0.487122
0.574153 0.461081 0.652265
0.59023 0.520708 0.26066
0.659419 0.486094 0.473805
0.405109 0.581807 0.683984
