2772 0.012625
0.381531 0.392516 0.385834
0.458203 0.310061 0.33801
0.476752 0.229625 0.344431
0.491143 0.228516 0.354128
0.501823 0.257911 0.353765
0.527241 0.331251 0.345003
0.345099 0.327292 0.454062
0.391922 0.303914 0.388002
0.433341 0.270971 0.309075
0.500293 0.239319 0.285627
0.557726 0.283212 0.332644
0.590367 0.329825 0.400589
0.331178 0.287561 0.473448
0.312573 0.259322 0.432104
0.372265 0.465927 0.362292
0.509351 0.481128 0.344527
0.660904 0.441219 0.381803
0.672914 0.238422 0.442373
0.341914 0.255836 0.483315
0.296097 0.249973 0.506863
0.374218 0.497669 0.504944
0.519736 0.502913 0.503092
0.680167 0.448783 0.512817
0.690899 0.20616 0.502269
0.34781 0.285896 0.499013
0.354008 0.275322 0.554389
0.379707 0.393714 0.673955
0.501717 0.430485 0.693629
0.638307 0.389498 0.64333
0.658759 0.222239 0.542374
0.361069 0.358105 0.552269
0.414784 0.341606 0.581192
0.451016 0.252481 0.650028
0.496725 0.220113 0.686525
0.547633 0.237338 0.671188
0.59061 0.302379 0.579249
0.402254 0.350709 0.403787
0.365121 0.359932 0.550234
0.30541 0.221069 0.504393
0.662585 0.462179 0.49886
0.421897 0.302554 0.691496
0.50955 0.232834 0.359754
0.377194 0.333054 0.532886
0.373709 0.378053 0.56534
0.659573 0.267157 0.488467
0.478221 0.188154 0.358972
0.591615 0.355102 0.589984
0.602871 0.275978 0.585261
0.510649 0.260108 0.719908
0.509417 0.500504 0.567371
0.697149 0.430699 0.450188
0.661499 0.278539 0.48013
0.352643 0.2345 0.507761
0.416476 0.382592 0.36646
0.51822 0.216626 0.664799
0.409105 0.3493 0.567566
0.397056 0.283711 0.584538
0.362417 0.374505 0.666151
0.35544 0.260888 0.508731
0.548801 0.39526 0.706334
0.410918 0.363533 0.617403
0.634441 0.242494 0.524422
0.568842 0.483163 0.592964
0.44403 0.245594 0.660131
0.615367 0.289644 0.549715
0.437934 0.506343 0.503088
0.48623 0.211196 0.652052
0.63336 0.257377 0.536213
0.638758 0.476772 0.466401
0.624432 0.307987 0.539781
0.507062 0.217704 0.676507
0.349983 0.299503 0.454396
0.378686 0.316721 0.533916
0.329243 0.235236 0.445127
0.617905 0.273056 0.5995
0.660685 0.243374 0.437951
0.422991 0.487075 0.371528
0.509732 0.22719 0.359703
0.473712 0.221116 0.687281
0.480381 0.230946 0.64791
0.624005 0.474024 0.555566
0.538532 0.501665 0.501671
0.515685 0.270428 0.643436
0.612361 0.293323 0.361182
0.465475 0.504868 0.449341
0.699871 0.229517 0.535908
0.335224 0.368189 0.637178
0.350599 0.283197 0.55333
0.636917 0.252163 0.444372
0.422769 0.359183 0.617676
0.63794 0.281266 0.606623
0.453709 0.50064 0.403452
0.407735 0.334303 0.56651
0.519654 0.503951 0.451335
0.372326 0.269806 0.583865
0.635635 0.29192 0.374653
0.42147 0.472594 0.344723
0.349948 0.258936 0.493522
0.62371 0.262393 0.578154
0.393666 0.38019 0.573311
0.512696 0.27273 0.651878
0.660319 0.21657 0.473039
0.619727 0.30038 0.419594
0.53306 0.24796 0.711529
0.424744 0.273175 0.655385
0.354851 0.253355 0.506438
0.430758 0.281581 0.689726
0.595546 0.302498 0.574486
0.331684 0.18271 0.465631
0.322592 0.186321 0.463169
0.455448 0.261174 0.341839
0.663575 0.208495 0.454801
0.649936 0.213498 0.458811
0.509308 0.204577 0.352226
0.677754 0.214835 0.456668
0.629852 0.261068 0.552125
0.572094 0.29794 0.692318
0.302119 0.208944 0.458017
0.507568 0.21869 0.297899
0.695962 0.25638 0.547496
0.438855 0.252278 0.313176
0.59623 0.333645 0.42374
0.647251 0.470409 0.51079
0.387639 0.27549 0.576055
0.518654 0.222589 0.690965
0.317043 0.18887 0.491762
0.461205 0.463379 0.317898
0.66335 0.246413 0.48327
0.670089 0.193053 0.493942
0.553416 0.475882 0.620416
0.528236 0.499018 0.405357
0.723701 0.310956 0.446482
0.462557 0.27878 0.637969
0.389584 0.389104 0.390313
0.588826 0.309261 0.308499
0.597707 0.3867 0.304124
0.483715 0.217854 0.682936
0.449849 0.243664 0.294724
0.555569 0.499302 0.505116
0.59012 0.368045 0.404031
0.454699 0.304019 0.346447
0.65824 0.20465 0.462449
0.57998 0.369485 0.399112
0.362429 0.486206 0.413083
0.406754 0.358256 0.62238
0.317675 0.180576 0.483362
0.701277 0.418186 0.434639
0.656958 0.223234 0.468815
0.48295 0.305977 0.258544
0.506315 0.192667 0.339562
0.455135 0.309387 0.633421
0.31245 0.436276 0.571912
0.510727 0.231028 0.644732
0.66202 0.28541 0.390629
0.39908 0.475921 0.361193
0.529219 0.290692 0.632652
0.427408 0.313585 0.606278
0.338926 0.232565 0.519286
0.66045 0.280351 0.477064
0.418985 0.33231 0.592582
0.26347 0.360855 0.50259
0.408159 0.383368 0.382621
0.41527 0.360212 0.601637
0.51166 0.50468 0.459058
0.542583 0.269263 0.300304
0.533211 0.248168 0.711128
0.531962 0.327719 0.36049
0.723179 0.355853 0.542533
0.263152 0.366394 0.495589
0.344913 0.239821 0.478294
0.48978 0.39262 0.716718
0.358244 0.264129 0.560943
0.343168 0.293508 0.603299
0.536774 0.304715 0.632015
0.398806 0.288178 0.6092
0.430993 0.403864 0.285473
0.658949 0.276768 0.475048
0.528352 0.309439 0.652392
0.552374 0.447457 0.315295
0.530573 0.294216 0.633484
0.325856 0.23255 0.522234
0.317353 0.210185 0.50487
