576 0.012625
0.353984 0.168929 0.353147
0.402305 0.173401 0.352023
0.451635 0.170434 0.35547
0.500307 0.169626 0.357958
0.547483 0.171279 0.356737
0.595501 0.171297 0.35389
0.353499 0.174138 0.402581
0.402889 0.179513 0.402543
0.451716 0.17505 0.40383
0.499141 0.174248 0.404392
0.548827 0.176152 0.402955
0.595585 0.176458 0.402565
0.353193 0.17039 0.450928
0.40315 0.176678 0.451766
0.452248 0.169535 0.452502
0.499262 0.168104 0.452408
0.547442 0.171755 0.451957
0.595803 0.17392 0.451708
0.355277 0.169546 0.499977
0.404164 0.17606 0.498767
0.452503 0.169073 0.498375
0.499515 0.167382 0.498728
0.546798 0.171267 0.498684
0.595581 0.172553 0.498877
0.354904 0.171496 0.547081
0.403979 0.178653 0.547639
0.452902 0.173587 0.546472
0.499317 0.171493 0.546346
0.546552 0.174645 0.547026
0.59659 0.17336 0.546516
0.353754 0.168728 0.595968
0.401183 0.178542 0.597494
0.45207 0.173229 0.596274
0.499579 0.168096 0.594409
0.547096 0.172845 0.594049
0.59743 0.175403 0.594781
0.380868 0.183793 0.383944
0.359315 0.171664 0.59645
0.393042 0.17784 0.503252
0.543653 0.170582 0.493687
0.463956 0.174354 0.564294
0.551862 0.175262 0.365299
0.372875 0.180464 0.587444
0.363762 0.170934 0.608495
0.637435 0.166821 0.47881
0.474389 0.177366 0.371123
0.642482 0.163737 0.64223
0.589058 0.176575 0.584971
0.507994 0.173618 0.574505
0.494817 0.168788 0.517027
0.550783 0.170492 0.47433
0.640398 0.166094 0.460407
0.369551 0.178713 0.54402
0.372857 0.176682 0.352318
0.535201 0.166991 0.608301
0.391699 0.178554 0.597668
0.413757 0.180387 0.577763
0.447224 0.174429 0.549014
0.365045 0.177958 0.556994
0.516678 0.172133 0.553108
0.38872 0.170432 0.631217
0.618539 0.169428 0.563805
0.515577 0.169422 0.523778
0.455731 0.173958 0.587809
0.61289 0.173203 0.588856
0.467803 0.167414 0.4986
0.481715 0.162524 0.613049
0.609203 0.172105 0.568342
0.539883 0.169432 0.481445
0.637272 0.167301 0.596351
0.514183 0.165396 0.603439
0.361508 0.177036 0.408041
0.37977 0.181456 0.579317
0.386312 0.178662 0.441987
0.576993 0.17888 0.571984
0.598923 0.173924 0.443039
0.465734 0.167028 0.45706
0.549374 0.174859 0.366518
0.479465 0.169685 0.587597
0.468166 0.162943 0.620835
0.532335 0.169749 0.513951
0.506866 0.167295 0.498047
0.555153 0.168326 0.626455
0.562665 0.174367 0.420667
0.477823 0.164358 0.480504
0.580635 0.174082 0.518833
0.440295 0.173975 0.544011
0.407254 0.177429 0.543842
0.617072 0.174811 0.419822
0.397916 0.173526 0.627367
0.57272 0.178358 0.562616
0.475457 0.164624 0.466497
0.398005 0.17943 0.58803
0.500077 0.165669 0.480565
0.411366 0.179308 0.564957
0.568821 0.173811 0.430057
0.466105 0.167612 0.450692
0.357977 0.170869 0.533871
0.589559 0.176415 0.5743
0.375171 0.17554 0.611276
0.547833 0.163201 0.631978
0.624015 0.173574 0.463042
0.596189 0.174764 0.420708
0.522546 0.171212 0.58161
0.454193 0.175802 0.575927
0.365267 0.177021 0.552564
0.466875 0.173964 0.568921
0.60101 0.174801 0.594736
0.380838 0.178758 0.463822
0.383777 0.17835 0.464505
0.418345 0.178004 0.374056
0.612777 0.173489 0.448234
0.622646 0.173932 0.438357
0.535047 0.174613 0.372168
0.604469 0.172969 0.459428
0.600795 0.173251 0.571192
0.532745 0.173269 0.56769
0.393784 0.176855 0.468926
0.506234 0.17427 0.396354
0.573597 0.174636 0.522493
0.449469 0.174912 0.397958
0.626166 0.173871 0.384086
0.540282 0.16949 0.498926
0.406798 0.179691 0.57258
0.523529 0.165879 0.599392
0.384067 0.178136 0.49586
0.482012 0.166807 0.446848
0.63129 0.169872 0.474969
0.608792 0.171005 0.49484
0.511781 0.169155 0.531047
0.505635 0.166308 0.465571
0.564223 0.171129 0.471871
0.448022 0.170608 0.616357
0.358771 0.172717 0.360261
0.541221 0.172919 0.420825
0.533784 0.17107 0.438042
0.486859 0.167605 0.5936
0.466258 0.173383 0.40403
0.513236 0.16709 0.499079
0.639842 0.163894 0.366553
0.401714 0.177552 0.365417
0.61851 0.173464 0.451835
0.634814 0.165831 0.363772
0.450218 0.167837 0.467586
0.384808 0.163403 0.63926
0.383653 0.177419 0.486955
0.552745 0.169431 0.467884
0.626067 0.172023 0.453208
0.48992 0.169826 0.420665
0.520249 0.174339 0.376915
0.439222 0.172036 0.62046
0.440884 0.169576 0.519193
0.535391 0.163933 0.619082
0.572987 0.172132 0.439189
0.458609 0.167322 0.45305
0.585198 0.173316 0.628154
0.419955 0.176343 0.604669
0.380821 0.178111 0.53799
0.641843 0.16483 0.454402
0.408801 0.176449 0.600394
0.431404 0.169743 0.495415
0.369275 0.176946 0.362636
0.390534 0.173573 0.619272
0.496554 0.164702 0.483338
0.528756 0.172825 0.405219
0.522993 0.169522 0.582378
0.600085 0.172907 0.364094
0.558621 0.17165 0.512993
0.432125 0.169613 0.492815
0.361386 0.172556 0.481754
0.495226 0.170142 0.552476
0.401032 0.177495 0.554617
0.426982 0.175121 0.553941
0.597766 0.171096 0.634298
0.430068 0.177124 0.579163
0.471618 0.167107 0.438407
0.640878 0.16535 0.45141
0.578349 0.167129 0.641011
0.516426 0.168435 0.446941
0.587711 0.172688 0.62984
0.38704 0.17556 0.526553
0.385612 0.175796 0.509535
0.397228 0.177088 0.560259
0.637477 0.166069 0.4578
0.357086 0.17279 0.400174
0.505267 0.173939 0.380284
0.564251 0.170044 0.489846
0.568842 0.169944 0.468257
0.536472 0.173337 0.387538
0.462329 0.17085 0.410551
0.411423 0.17207 0.508067
0.596947 0.171802 0.439721
0.395217 0.174428 0.519967
0.425532 0.173577 0.402481
0.457531 0.171204 0.409999
0.411207 0.171582 0.628691
0.62622 0.172699 0.390789
0.360898 0.169241 0.527979
0.591184 0.170266 0.498425
0.361636 0.170917 0.49249
0.44811 0.170955 0.601669
0.536263 0.159343 0.631669
0.405775 0.175994 0.555073
0.553912 0.172866 0.555007
0.412873 0.175216 0.36974
0.367145 0.171475 0.60075
0.450187 0.172927 0.399105
0.558154 0.175102 0.382032
0.366281 0.172154 0.514522
0.443299 0.174689 0.573237
0.634747 0.166806 0.369032
0.588561 0.170445 0.507982
0.591827 0.1705 0.532715
0.538659 0.169767 0.537516
0.400431 0.17408 0.52844
