2196 0.012625
0.388144 0.288764 0.391656
0.440202 0.23443 0.337821
0.465304 0.192466 0.324501
0.495121 0.184973 0.325691
0.520099 0.192432 0.336429
0.548105 0.237488 0.350097
0.345124 0.234663 0.435955
0.351166 0.278091 0.351653
0.433009 0.285084 0.292768
0.499817 0.269916 0.279525
0.574899 0.28718 0.310123
0.627524 0.260858 0.369291
0.339122 0.214335 0.468191
0.290203 0.275286 0.429347
0.415426 0.414512 0.408533
0.502473 0.413404 0.401106
0.609841 0.406322 0.42005
0.697344 0.247486 0.434309
0.332305 0.198658 0.490239
0.284574 0.270182 0.507254
0.417995 0.418909 0.503129
0.509025 0.416509 0.500734
0.615346 0.402106 0.503888
0.7094 0.232982 0.50553
0.341306 0.209339 0.519129
0.318017 0.268804 0.580962
0.416748 0.389985 0.623814
0.498916 0.394963 0.624633
0.600535 0.389889 0.605889
0.684735 0.231482 0.562533
0.358625 0.270534 0.559834
0.379717 0.239791 0.612264
0.435195 0.23736 0.676294
0.49846 0.234942 0.702047
0.561315 0.254174 0.692475
0.629867 0.255748 0.619682
0.368882 0.252562 0.371341
0.361217 0.264246 0.562106
0.284171 0.240789 0.510877
0.60322 0.40646 0.495329
0.438209 0.330003 0.683545
0.532344 0.18682 0.324055
0.357935 0.230606 0.56842
0.371799 0.273022 0.573032
0.659011 0.210223 0.48369
0.47175 0.171613 0.303879
0.606178 0.27 0.604438
0.641575 0.25968 0.625915
0.510268 0.297964 0.708552
0.500102 0.41593 0.541781
0.630552 0.397926 0.465213
0.659464 0.215293 0.47019
0.3223 0.197301 0.534772
0.409448 0.27393 0.370026
0.530411 0.220191 0.687757
0.373262 0.235127 0.59904
0.356825 0.250445 0.630059
0.400485 0.382941 0.626555
0.332824 0.202334 0.539667
0.529793 0.383071 0.642527
0.407526 0.264934 0.62031
0.66075 0.196215 0.556563
0.539311 0.409254 0.554898
0.434558 0.251737 0.685811
0.650201 0.231425 0.586577
0.452581 0.419243 0.501776
0.481669 0.194657 0.679348
0.660782 0.214704 0.570883
0.588533 0.410968 0.473855
0.641229 0.227379 0.565842
0.512643 0.226862 0.695289
0.338473 0.220597 0.431169
0.35139 0.228845 0.574884
0.300117 0.233037 0.428234
0.647652 0.283978 0.629247
0.689105 0.243853 0.423965
0.447901 0.417257 0.416062
0.531813 0.18634 0.321254
0.470503 0.234602 0.702583
0.46984 0.190139 0.66667
0.575331 0.409318 0.532031
0.52235 0.415478 0.499367
0.53548 0.206138 0.655316
0.631452 0.315667 0.342768
0.473029 0.416789 0.465373
0.710309 0.261169 0.537266
0.37337 0.381392 0.606609
0.316872 0.278145 0.575748
