5220 0.012625
0.388142 0.704048 0.410332
0.402649 0.618755 0.304635
0.490025 0.667051 0.247895
0.505281 0.677812 0.25165
0.523295 0.641041 0.250117
0.579725 0.596087 0.329488
0.320363 0.668768 0.411374
0.350033 0.658509 0.348967
0.425713 0.687844 0.296498
0.484403 0.199764 0.305295
0.573273 0.684841 0.292834
0.59921 0.61906 0.369788
0.26629 0.645416 0.469078
0.291102 0.71417 0.484172
0.397103 0.451155 0.388716
0.512609 0.498677 0.305173
0.590972 0.500464 0.422805
0.724517 0.663011 0.462671
0.243596 0.642868 0.462582
0.32203 0.379638 0.486902
0.292419 0.524434 0.511121
0.678175 0.790774 0.583361
0.668585 0.529428 0.509861
0.66277 0.199982 0.495101
0.257532 0.625648 0.505185
0.266266 0.665958 0.567697
0.451262 0.701559 0.607144
0.496409 0.467435 0.656851
0.562892 0.616191 0.557778
0.690832 0.68038 0.520761
0.362611 0.669119 0.596854
0.367941 0.557387 0.616792
0.423794 0.610796 0.708092
0.491801 0.243112 0.687348
0.532497 0.707158 0.671697
0.634245 0.592252 0.635875
0.37763 0.670898 0.393629
0.363874 0.661681 0.597274
0.339479 0.180665 0.488675
0.680925 0.499561 0.494154
0.433309 0.722151 0.675305
0.508265 0.689652 0.250597
0.32275 0.591592 0.581558
0.374309 0.653861 0.60069
0.722515 0.594724 0.506808
0.507144 0.72022 0.304463
0.608838 0.63742 0.630046
0.668908 0.637335 0.635919
0.501286 0.25539 0.690646
0.572632 0.578578 0.741561
0.633858 0.553289 0.460609
0.704922 0.595585 0.468797
0.255894 0.703542 0.512773
0.403396 0.677407 0.382949
0.511911 0.621714 0.639948
0.360015 0.543921 0.611692
0.330376 0.618529 0.626062
0.44585 0.715705 0.589307
0.234896 0.648865 0.481732
0.526532 0.471966 0.628626
0.396601 0.672536 0.615401
0.733545 0.630411 0.552526
0.583342 0.467566 0.624234
0.439662 0.629082 0.725185
0.665154 0.60334 0.613644
0.244096 0.660148 0.582147
0.49955 0.711403 0.695965
0.707631 0.599343 0.578151
0.663116 0.512323 0.443691
0.662402 0.590016 0.605974
0.500272 0.343395 0.670893
0.311098 0.653573 0.406685
0.304979 0.583398 0.567042
0.296033 0.71045 0.493212
0.662033 0.704188 0.617001
0.705595 0.640958 0.427287
0.407261 0.478221 0.361331
0.507706 0.701084 0.257232
0.482822 0.264648 0.692374
0.477565 0.613762 0.742766
0.620361 0.497931 0.565377
0.739285 0.734051 0.553341
0.527048 0.577663 0.721968
0.623683 0.710404 0.336613
0.355612 0.661802 0.284477
0.658889 0.178989 0.509069
0.416283 0.710682 0.558702
0.2728 0.658669 0.570634
0.690671 0.622304 0.408556
0.401184 0.652424 0.616828
0.652859 0.715257 0.595638
0.389704 0.497432 0.310214
0.352718 0.546465 0.616791
0.630893 0.6441 0.276205
0.317473 0.688448 0.602251
0.650336 0.719016 0.37074
0.431523 0.544073 0.371142
0.238986 0.640998 0.465593
0.685194 0.664914 0.607297
0.382327 0.62686 0.597029
0.521969 0.585613 0.722675
0.702142 0.674528 0.497949
0.624947 0.596873 0.377296
0.508943 0.234478 0.68418
0.409494 0.672495 0.70938
0.231231 0.660462 0.474847
0.441805 0.712887 0.690601
0.63864 0.597409 0.631352
0.318057 0.284547 0.482227
0.318492 0.234697 0.481739
0.422 0.657684 0.283673
0.640634 0.540516 0.486895
0.726712 0.673685 0.480341
0.517158 0.721576 0.307428
0.681017 0.299459 0.471514
0.698477 0.625778 0.590162
0.548978 0.696122 0.670759
0.336511 0.214585 0.480182
0.487936 0.199231 0.342824
0.629542 0.569921 0.507041
0.452064 0.677307 0.273135
0.606402 0.563493 0.385673
0.688937 0.490484 0.516943
0.316681 0.648075 0.606072
0.499646 0.210522 0.681903
0.323636 0.238278 0.49034
0.457874 0.571953 0.337142
0.734343 0.619174 0.502708
0.678462 0.2845 0.486841
0.558938 0.51518 0.630174
0.574291 0.501398 0.278075
0.661404 0.611232 0.479977
0.400874 0.613774 0.678736
0.385802 0.694119 0.406383
0.536251 0.740904 0.354945
0.532373 0.600794 0.387634
0.487263 0.266846 0.68963
0.479172 0.377447 0.315592
0.758262 0.658447 0.566525
0.584593 0.6402 0.3875
0.394035 0.62018 0.307446
0.655937 0.608211 0.49244
0.581817 0.617116 0.381806
0.361434 0.454758 0.40053
0.389806 0.675484 0.618266
0.326989 0.273745 0.489471
0.634101 0.609545 0.466128
0.728894 0.669886 0.49164
0.485079 0.343633 0.306731
0.496917 0.477289 0.343864
0.394862 0.610363 0.653092
0.365538 0.50829 0.543212
0.519896 0.632599 0.742323
0.680188 0.721238 0.404453
0.406625 0.469696 0.376464
0.556265 0.573626 0.699417
0.376227 0.593647 0.633858
0.301955 0.721727 0.524296
0.692168 0.600622 0.452115
0.372117 0.571078 0.62192
0.340623 0.46522 0.505279
0.39568 0.673909 0.3884
0.393865 0.637177 0.608574
0.613566 0.714517 0.280007
0.534708 0.718823 0.32754
0.509031 0.24029 0.68413
0.585168 0.585604 0.331925
0.637778 0.544957 0.513068
0.335715 0.459685 0.501918
0.24544 0.678312 0.503659
0.486101 0.470243 0.649881
0.271416 0.691494 0.569422
0.350607 0.75622 0.565099
0.579938 0.591514 0.689038
0.344704 0.640761 0.64547
0.456205 0.675366 0.342829
0.688497 0.603057 0.445635
0.564946 0.601195 0.685172
0.54246 0.539766 0.356306
0.561023 0.577306 0.696828
0.348746 0.654645 0.495336
0.323316 0.191588 0.490633
0.266038 0.6805 0.56957
0.705607 0.59585 0.463748
0.320809 0.660652 0.405854
0.481623 0.305877 0.318407
0.666659 0.402375 0.4872
0.699806 0.671601 0.466212
0.513132 0.707568 0.339866
0.436848 0.683096 0.294846
0.319667 0.707326 0.522276
0.692773 0.639646 0.405263
0.329676 0.701527 0.506607
0.377908 0.709276 0.315034
0.419723 0.690419 0.30794
0.402488 0.636911 0.62404
0.617546 0.55657 0.388728
0.247041 0.689768 0.505189
0.653485 0.19357 0.496903
0.268362 0.69881 0.526489
0.398633 0.61579 0.698818
0.516714 0.593691 0.729933
0.275496 0.667705 0.57846
0.581935 0.704191 0.5822
0.413912 0.653588 0.289415
0.365562 0.642521 0.598817
0.442563 0.677854 0.280437
0.546301 0.658391 0.267802
0.29543 0.719459 0.514187
0.389252 0.721643 0.657548
0.585645 0.617464 0.384511
0.652753 0.197706 0.501052
0.676799 0.281257 0.506024
0.572686 0.529866 0.557791
