2052 0.012625
0.382227 0.265126 0.384896
0.43216 0.223673 0.33353
0.461499 0.192687 0.317173
0.496356 0.186385 0.317056
0.525889 0.188717 0.327079
0.558589 0.22198 0.34676
0.339624 0.22044 0.427735
0.347089 0.283601 0.348948
0.436489 0.289555 0.298763
0.499133 0.278832 0.286582
0.57331 0.289488 0.311881
0.636392 0.260679 0.364559
0.336139 0.203525 0.465566
0.295067 0.282549 0.432457
0.423459 0.395105 0.417728
0.501355 0.393006 0.412038
0.59759 0.389893 0.42707
0.696091 0.255179 0.436818
0.325269 0.195534 0.493001
0.290089 0.277794 0.50554
0.425997 0.39611 0.502151
0.506861 0.393234 0.500094
0.601534 0.384995 0.502146
0.705543 0.241902 0.505111
0.334605 0.201825 0.525534
0.315193 0.275281 0.580924
0.425231 0.377393 0.608908
0.498385 0.378994 0.609812
0.58919 0.378542 0.593722
0.686683 0.239005 0.562374
0.354505 0.254409 0.565598
0.371997 0.23412 0.623192
0.435569 0.244539 0.679044
0.498876 0.242704 0.699224
0.560239 0.262701 0.690896
0.635052 0.259283 0.624702
0.358679 0.245996 0.361645
0.355949 0.247707 0.569036
0.285138 0.249862 0.510334
0.590797 0.38799 0.494674
0.443384 0.332713 0.669933
0.538923 0.189114 0.313706
0.348678 0.217674 0.578978
0.36586 0.253424 0.580468
0.661397 0.201797 0.482165
0.470535 0.179449 0.293434
0.611274 0.256064 0.609603
0.645291 0.266544 0.629018
0.509523 0.303089 0.695261
0.498553 0.393557 0.537123
0.615417 0.381837 0.467068
0.661705 0.206822 0.46817
0.313305 0.200695 0.541895
0.399889 0.251393 0.364878
0.532035 0.226216 0.688927
0.364169 0.22638 0.611011
0.352298 0.255977 0.635814
0.411268 0.373562 0.612267
0.323885 0.202005 0.548407
0.526448 0.370029 0.626159
0.403916 0.246932 0.625504
0.670321 0.197703 0.56267
0.534155 0.388374 0.548386
0.436637 0.259711 0.685588
0.658788 0.230909 0.59318
0.455883 0.395627 0.501173
0.481285 0.199511 0.684531
0.67003 0.217107 0.575994
0.578423 0.390828 0.475444
0.650218 0.218535 0.573234
0.513252 0.233452 0.694467
0.329773 0.21273 0.423115
0.342312 0.220773 0.584876
0.295652 0.239089 0.427135
0.647105 0.291439 0.628338
0.690008 0.25111 0.425548
0.451681 0.395219 0.424632
0.537915 0.189315 0.311156
0.471521 0.243106 0.700169
0.467788 0.191699 0.673414
0.566292 0.388526 0.527997
0.519047 0.392379 0.49876
0.540311 0.202075 0.661534
0.62572 0.320826 0.348826
0.474562 0.392658 0.468276
0.703275 0.269526 0.53459
0.386089 0.371977 0.593632
0.315722 0.284302 0.574521
0.676895 0.215853 0.408059
0.4049 0.235045 0.632755
0.652027 0.313291 0.615765
0.469042 0.393533 0.442917
0.359919 0.233762 0.615096
0.508249 0.39248 0.46912
0.333573 0.274953 0.62229
0.648655 0.321939 0.374746
0.451087 0.393626 0.409575
0.32555 0.195079 0.519618
0.662883 0.266248 0.613462
0.371978 0.23611 0.593928
0.530643 0.209172 0.659526
0.685347 0.203053 0.463868
0.663726 0.260598 0.388494
0.529896 0.29017 0.699175
0.428866 0.297486 0.677225
0.321485 0.200134 0.544132
0.447282 0.31299 0.680876
0.64006 0.257304 0.618652
0.285509 0.204325 0.45752
0.283104 0.214788 0.456969
0.420248 0.221627 0.314675
0.695024 0.221225 0.441455
0.689166 0.20462 0.435964
0.530139 0.194949 0.300492
0.69934 0.235839 0.451219
0.670594 0.239896 0.589262
0.551607 0.333135 0.667227
0.280682 0.245238 0.459772
0.509309 0.256657 0.282994
0.690186 0.290648 0.539479
0.434586 0.271489 0.293868
0.641901 0.218687 0.377279
0.581278 0.38902 0.502278
0.339948 0.25157 0.626469
0.524693 0.250794 0.70012
0.282427 0.219405 0.497011
0.474352 0.390698 0.395283
0.67075 0.203111 0.477339
0.699755 0.216094 0.497542
0.524841 0.387662 0.563806
0.514047 0.392619 0.443212
0.671243 0.341008 0.464892
0.437964 0.211344 0.664577
0.37941 0.255263 0.380503
0.573274 0.343013 0.32926
0.560909 0.379806 0.37278
0.482414 0.235705 0.698117
0.455741 0.275881 0.287955
0.529625 0.391509 0.500403
0.621438 0.235688 0.376073
