1800 0.012625
0.369254 0.234947 0.370664
0.419609 0.214515 0.324973
0.45684 0.198696 0.308294
0.498776 0.19446 0.308289
0.534806 0.194216 0.31542
0.574926 0.205205 0.333665
0.326429 0.209891 0.414714
0.352516 0.291167 0.354154
0.442655 0.292645 0.317733
0.498645 0.286809 0.309589
0.568172 0.291856 0.324181
0.64119 0.264192 0.364657
0.325235 0.195096 0.459579
0.314808 0.291379 0.439862
0.435742 0.355178 0.432431
0.499907 0.353294 0.427759
0.579907 0.354412 0.437298
0.683153 0.266626 0.443584
0.315098 0.198581 0.495875
0.31209 0.285928 0.503134
0.43783 0.354432 0.499628
0.503982 0.350725 0.499379
0.581213 0.350337 0.49911
0.6893 0.254448 0.503796
0.321669 0.202088 0.535833
0.325737 0.289168 0.574521
0.437049 0.348297 0.586738
0.497589 0.346536 0.586829
0.573322 0.350182 0.575868
0.680313 0.251852 0.557675
0.348361 0.230488 0.575585
0.363918 0.23472 0.63594
0.439829 0.255901 0.674235
0.49991 0.254222 0.684273
0.554473 0.274233 0.678057
0.635794 0.262662 0.624777
0.347847 0.246005 0.351614
0.346772 0.225186 0.581619
0.298599 0.26375 0.508394
0.573233 0.350746 0.492721
0.451081 0.323035 0.640514
0.54651 0.20033 0.30237
0.334033 0.210369 0.596349
0.357105 0.227407 0.593848
0.668441 0.192014 0.481199
0.470601 0.198405 0.285281
0.620262 0.237221 0.618991
0.641268 0.274019 0.625026
0.507932 0.303478 0.66623
0.497052 0.352179 0.529846
0.592777 0.348726 0.469488
0.66824 0.196407 0.466156
0.303659 0.212305 0.549902
0.383022 0.226214 0.352072
0.533052 0.236666 0.68251
0.352222 0.224432 0.627161
0.354749 0.267279 0.635996
0.425937 0.347792 0.590367
0.311976 0.209862 0.559848
0.521634 0.342654 0.600544
0.395707 0.225824 0.636979
0.6797 0.209427 0.566607
0.526842 0.348664 0.538644
0.442663 0.270803 0.67364
0.665534 0.23659 0.598796
0.461558 0.352732 0.49984
0.482087 0.211894 0.684579
0.676769 0.229339 0.578038
0.564201 0.351061 0.476914
0.661877 0.213372 0.582605
0.513903 0.244128 0.683499
0.316432 0.212127 0.411808
0.330318 0.221454 0.599423
0.299773 0.25184 0.429024
0.637143 0.297797 0.618874
0.680818 0.263014 0.431769
0.457511 0.353112 0.437741
0.544766 0.201494 0.300748
0.474481 0.256061 0.68457
0.467159 0.201724 0.67865
0.552835 0.34944 0.521334
0.514336 0.350186 0.498214
0.546517 0.202678 0.669975
0.609137 0.318055 0.367956
0.476882 0.348429 0.473076
0.679309 0.279687 0.528149
0.406505 0.347978 0.576041
0.329648 0.296808 0.567263
0.681294 0.228298 0.407617
0.395763 0.221049 0.64702
0.635597 0.313391 0.60232
0.47224 0.349773 0.452127
0.351664 0.236419 0.626718
0.505457 0.349488 0.473464
0.342176 0.288291 0.616288
0.628381 0.316988 0.391442
0.457312 0.353815 0.425882
0.313009 0.201641 0.527947
0.657518 0.27576 0.608304
0.358974 0.2173 0.613607
0.536014 0.20431 0.663539
0.688494 0.208574 0.463677
0.662302 0.269801 0.393484
0.525862 0.294181 0.67303
0.437255 0.30093 0.657724
0.309818 0.208814 0.554824
0.454782 0.311135 0.653882
0.641148 0.259824 0.619605
0.286072 0.224913 0.458878
0.287984 0.234516 0.459028
0.412421 0.226798 0.30828
0.690225 0.23298 0.444211
0.692653 0.215737 0.435408
0.533887 0.210499 0.29557
0.6889 0.247813 0.455523
0.671397 0.252346 0.588133
0.542744 0.323268 0.637291
0.294783 0.260755 0.463048
0.507865 0.269503 0.299305
0.665254 0.29744 0.531815
0.440416 0.278383 0.308868
0.658219 0.219228 0.366835
0.565531 0.350303 0.499196
0.341468 0.266585 0.62685
0.52347 0.260086 0.683239
0.289091 0.238357 0.496384
0.477227 0.352669 0.414583
0.675898 0.198275 0.476701
0.692195 0.228532 0.497251
0.519441 0.34862 0.551087
0.51088 0.351169 0.451848
0.637443 0.32712 0.468
0.436213 0.216396 0.674564
0.364014 0.230855 0.364673
0.56229 0.330906 0.355342
0.551123 0.349877 0.395651
0.484467 0.248451 0.684861
0.460834 0.283505 0.309009
0.523273 0.349621 0.499515
0.638424 0.224739 0.36454
0.405315 0.219173 0.320046
0.69288 0.220327 0.449781
0.633459 0.222343 0.356501
0.432948 0.354344 0.456364
