3348 0.012625
0.369037 0.442524 0.376475
0.457767 0.419472 0.326598
0.483324 0.320319 0.33814
0.489357 0.327577 0.349079
0.493633 0.378751 0.34462
0.53566 0.426569 0.323073
0.327357 0.436163 0.449433
0.419931 0.435936 0.409054
0.449522 0.324428 0.336125
0.497841 0.240086 0.308235
0.533744 0.356095 0.355224
0.594139 0.46169 0.396987
0.311099 0.400115 0.475712
0.3358 0.293898 0.453203
0.333585 0.447749 0.323815
0.516767 0.508538 0.274978
0.68684 0.407669 0.354725
0.654821 0.287798 0.462703
0.332405 0.364 0.48226
0.316124 0.266904 0.499533
0.309789 0.545493 0.512046
0.532907 0.585063 0.510869
0.73813 0.446956 0.521266
0.665164 0.201604 0.496525
0.3321 0.413781 0.492737
0.368997 0.386479 0.523317
0.376269 0.355523 0.653988
0.501508 0.413231 0.742713
0.636479 0.352549 0.639635
0.645936 0.267459 0.51728
0.35715 0.442737 0.561078
0.404598 0.482243 0.599082
0.468234 0.356127 0.644556
0.492743 0.233372 0.669454
0.524765 0.274078 0.650971
0.569159 0.45166 0.563676
0.391802 0.477005 0.392537
0.355649 0.448166 0.561624
0.323753 0.225311 0.496685
0.725673 0.473107 0.50181
0.432662 0.322599 0.64901
0.495283 0.343132 0.360683
0.354255 0.466708 0.537847
0.36189 0.452813 0.579828
0.672287 0.379566 0.493072
0.483702 0.271587 0.37045
0.592014 0.441014 0.594282
0.573293 0.406161 0.548592
0.505485 0.251173 0.693702
0.521909 0.572774 0.60896
0.735396 0.401018 0.426725
0.681027 0.394079 0.484969
0.353584 0.331063 0.494836
0.400205 0.450131 0.353653
0.505691 0.258317 0.651286
0.391519 0.485983 0.590998
0.424876 0.442334 0.559874
0.370495 0.346172 0.637854
0.347574 0.388371 0.492381
0.559787 0.35808 0.723194
0.394166 0.436097 0.621521
0.638459 0.359866 0.508601
0.611345 0.51156 0.647357
0.464433 0.319836 0.645401
0.617542 0.429352 0.537954
0.412401 0.590101 0.511269
0.487897 0.277994 0.647153
0.637906 0.382103 0.519265
0.70142 0.508155 0.451665
0.637365 0.432183 0.540537
0.499067 0.241539 0.66108
0.336762 0.422408 0.457272
0.361479 0.466749 0.529366
0.339346 0.283955 0.46481
0.583286 0.359934 0.559352
0.646723 0.317224 0.463094
0.381933 0.505411 0.314861
0.495793 0.332087 0.362178
0.478287 0.240164 0.672342
0.486889 0.330689 0.65025
0.678587 0.486137 0.590445
0.558873 0.584149 0.507322
0.511988 0.394916 0.654502
0.568586 0.36742 0.408442
0.454056 0.590434 0.425003
0.677881 0.224172 0.522108
0.354843 0.337102 0.61469
0.366213 0.390451 0.525716
0.640478 0.378688 0.467581
0.401811 0.446381 0.628835
0.600629 0.333083 0.566497
0.428745 0.56388 0.350685
0.400438 0.487355 0.581175
0.535065 0.585842 0.426228
0.400902 0.381261 0.546018
0.59348 0.357009 0.418867
0.384313 0.467821 0.290628
0.338659 0.37853 0.486465
0.60246 0.369323 0.54249
0.367395 0.46444 0.596645
0.510826 0.385979 0.660984
0.65712 0.26954 0.479372
0.617641 0.444437 0.432971
0.521967 0.241721 0.684249
0.452114 0.356836 0.625211
0.348682 0.374214 0.491602
0.443564 0.310094 0.654362
0.576886 0.448991 0.558292
0.35444 0.211422 0.474191
0.347946 0.200446 0.472078
0.466591 0.366257 0.339775
0.651689 0.248587 0.468617
0.646239 0.283041 0.47381
0.49867 0.279198 0.361559
0.661885 0.235847 0.467105
0.626715 0.380853 0.527447
0.553032 0.301803 0.660526
0.323869 0.202546 0.467156
0.501778 0.217367 0.321095
0.671187 0.266008 0.529298
0.458774 0.301569 0.333416
0.615806 0.479922 0.411852
0.710793 0.490766 0.522658
0.409899 0.424781 0.546808
0.508292 0.227118 0.670483
0.345263 0.194396 0.489077
0.438286 0.456592 0.258756
0.66527 0.332338 0.488271
0.647186 0.214706 0.489681
0.587532 0.491754 0.67767
0.546858 0.562331 0.35502
0.698064 0.293185 0.447769
0.465258 0.411606 0.656952
0.372785 0.453919 0.376977
0.563026 0.30522 0.349823
0.595592 0.346498 0.313695
0.484904 0.236972 0.668072
0.462531 0.260375 0.316358
0.585848 0.581711 0.511604
0.611436 0.461422 0.375996
0.459289 0.423175 0.335545
0.649349 0.251353 0.472868
0.603021 0.464137 0.367554
0.306677 0.49259 0.373249
0.397273 0.428194 0.617862
0.348937 0.188423 0.484021
0.723634 0.378946 0.413552
0.657155 0.290379 0.478669
0.481603 0.293637 0.274901
0.498044 0.240549 0.355445
0.449057 0.433301 0.652928
0.280974 0.402241 0.588008
0.503694 0.330023 0.639798
0.618852 0.335753 0.427733
0.355778 0.471158 0.312289
0.526702 0.422974 0.651323
0.433422 0.463146 0.609246
0.348602 0.300325 0.503244
0.682131 0.397647 0.481094
0.415184 0.476443 0.602463
0.268158 0.335761 0.508274
0.390681 0.461063 0.365479
0.395888 0.458075 0.616585
0.523163 0.588419 0.439346
0.526589 0.300434 0.326938
0.522018 0.24245 0.683858
0.539155 0.438783 0.33408
0.718567 0.32011 0.541445
0.262994 0.343372 0.500226
0.337356 0.331539 0.481693
0.485012 0.35888 0.739974
0.37592 0.371461 0.524518
0.383565 0.326721 0.562986
0.536432 0.423261 0.648372
0.432361 0.417068 0.579555
0.415674 0.371047 0.282846
0.680298 0.396091 0.47959
0.533858 0.403076 0.670213
0.57254 0.419389 0.271473
0.528817 0.422399 0.652036
0.341305 0.274548 0.506305
0.335942 0.220134 0.496302
0.37894 0.37748 0.523328
0.676331 0.381251 0.483068
0.333549 0.437453 0.44873
0.49395 0.220286 0.351556
0.713673 0.284184 0.485647
0.684083 0.293363 0.450415
0.511916 0.281588 0.33778
0.448342 0.311187 0.322849
0.31997 0.306214 0.511514
0.640344 0.350183 0.460831
0.336943 0.288706 0.50973
0.438499 0.380571 0.384983
0.443416 0.325027 0.329695
0.414415 0.446207 0.637686
0.626883 0.473209 0.425286
0.346359 0.333965 0.488684
0.673824 0.209313 0.497202
0.341247 0.313468 0.483927
0.463846 0.388109 0.641645
0.506275 0.366617 0.656451
0.380632 0.383849 0.52935
0.613061 0.329945 0.615376
0.465656 0.380896 0.339021
0.358073 0.458803 0.567791
0.456555 0.307933 0.333531
0.508733 0.348064 0.34311
0.354509 0.291691 0.488668
0.431521 0.353733 0.605906
0.609645 0.468883 0.37976
0.673995 0.207993 0.506863
0.659374 0.229825 0.519777
0.650944 0.39744 0.647019
0.346318 0.341943 0.518339
0.252869 0.41603 0.513534
0.379969 0.399862 0.452462
0.345033 0.289756 0.507005
0.495271 0.300595 0.361032
0.331203 0.346631 0.478058
0.500467 0.213046 0.342098
0.487593 0.203211 0.345475
0.456529 0.42472 0.331681
0.408438 0.383013 0.420241
0.608337 0.364403 0.308994
0.627782 0.469721 0.403109
0.338109 0.423804 0.504967
0.639948 0.257469 0.504265
0.336042 0.359131 0.473154
0.421613 0.337681 0.686571
0.49678 0.365631 0.35139
0.468378 0.374325 0.335187
0.540493 0.293936 0.666137
0.649161 0.450524 0.453241
0.493187 0.210388 0.347171
0.606452 0.575522 0.518823
0.356798 0.27713 0.488287
0.528803 0.357123 0.347795
0.517757 0.538786 0.301279
0.524708 0.28289 0.647952
0.354119 0.34541 0.518492
0.344136 0.317001 0.472286
0.350471 0.350888 0.52664
0.285934 0.302277 0.510479
0.677405 0.226112 0.472407
0.68177 0.264236 0.520388
0.677257 0.376161 0.363316
0.429964 0.438841 0.566723
0.505588 0.303963 0.64081
0.506889 0.390541 0.250257
0.518353 0.354914 0.638271
0.509023 0.399222 0.343748
0.379723 0.479006 0.591856
0.455574 0.420115 0.346205
0.387363 0.368616 0.41083
0.418846 0.374475 0.406383
0.542953 0.311506 0.707869
0.486313 0.20037 0.343054
0.49127 0.276205 0.361963
0.545483 0.356402 0.261308
0.282826 0.338517 0.445396
0.342359 0.20794 0.493446
0.635262 0.328263 0.582184
0.523502 0.420138 0.339727
0.573739 0.460486 0.599436
0.611019 0.33156 0.610555
0.37777 0.348975 0.331044
0.392857 0.471897 0.287928
0.472686 0.499245 0.26701
0.375656 0.471722 0.386188
0.505152 0.345853 0.641757
0.538109 0.438962 0.340647
0.65369 0.307981 0.496942
0.540801 0.438553 0.616859
0.690823 0.490114 0.388099
0.669606 0.217551 0.475836
0.486762 0.28504 0.350594
0.418757 0.446364 0.403094
0.469251 0.253269 0.674326
0.650007 0.304232 0.495451
0.662276 0.492846 0.609654
0.268875 0.425638 0.426153
0.348852 0.317546 0.50236
0.628993 0.434943 0.536576
0.41935 0.350799 0.335302
0.51232 0.240857 0.326183
