612 0.012625
0.354104 0.171012 0.352827
0.402394 0.17595 0.350911
0.451777 0.172928 0.355045
0.500393 0.172115 0.357952
0.547113 0.173937 0.356628
0.595301 0.174095 0.353598
0.352961 0.17683 0.402683
0.402996 0.183163 0.402735
0.451955 0.178427 0.403868
0.499115 0.177425 0.40436
0.548817 0.17951 0.402954
0.59552 0.179863 0.402619
0.352328 0.172764 0.451035
0.403162 0.180165 0.452032
0.452622 0.17231 0.452825
0.499208 0.170645 0.452668
0.547387 0.174626 0.452159
0.5958 0.176976 0.451938
0.354971 0.17192 0.500078
0.404283 0.179415 0.498608
0.452853 0.171719 0.498187
0.49952 0.16975 0.498613
0.546667 0.173992 0.498584
0.595664 0.175485 0.498791
0.354535 0.174044 0.547013
0.404176 0.182228 0.547587
0.453344 0.176699 0.546233
0.499286 0.174288 0.546079
0.546328 0.177763 0.546786
0.597158 0.176513 0.546201
0.353369 0.170954 0.595967
0.401056 0.181869 0.597797
0.452296 0.176226 0.59682
0.499595 0.170719 0.594456
0.546741 0.175932 0.593914
0.597908 0.178779 0.594614
0.380673 0.18747 0.383547
0.358692 0.174162 0.596635
0.392989 0.181314 0.503134
0.543515 0.17324 0.493624
0.464264 0.177508 0.564411
0.551611 0.178389 0.364974
0.372132 0.183845 0.587823
0.363397 0.17337 0.608757
0.637625 0.169099 0.478938
0.474376 0.180751 0.370466
0.642084 0.165725 0.641625
0.589672 0.180107 0.584768
0.507757 0.176661 0.574618
0.494902 0.171294 0.516825
0.55063 0.173141 0.474385
0.640349 0.168305 0.460635
0.369116 0.182073 0.544199
0.372644 0.179351 0.351069
0.535005 0.169558 0.607992
0.391406 0.18185 0.597995
0.413819 0.184034 0.577894
0.447679 0.177632 0.548761
0.364335 0.181146 0.557172
0.516519 0.174957 0.552828
0.38862 0.172779 0.631845
0.619101 0.172321 0.563383
0.515556 0.171953 0.523551
0.456021 0.177051 0.588291
0.613671 0.176395 0.58871
0.46805 0.169828 0.498432
0.481893 0.164717 0.612731
0.610152 0.175237 0.568021
0.539732 0.171984 0.481473
0.637371 0.16976 0.596028
0.514145 0.167805 0.603099
0.360937 0.180071 0.408146
0.379144 0.185212 0.579669
0.385941 0.182308 0.442159
0.577465 0.182676 0.57181
0.598855 0.17702 0.443277
0.465981 0.169495 0.457303
0.549129 0.178018 0.366224
0.479582 0.172504 0.587959
0.468309 0.16512 0.620484
0.53223 0.172343 0.513783
0.506832 0.169675 0.497949
0.554854 0.171013 0.626633
0.562663 0.177625 0.420696
0.477951 0.166463 0.480513
0.580721 0.177214 0.518651
0.440737 0.177213 0.543728
0.40752 0.180964 0.543734
0.617143 0.177976 0.420139
0.397676 0.176177 0.628221
0.573012 0.182061 0.562445
0.475605 0.166782 0.466638
0.397863 0.182948 0.588302
0.500042 0.167901 0.480599
0.411495 0.182962 0.564968
0.568793 0.176995 0.430114
0.466368 0.170166 0.450995
0.357996 0.173515 0.533861
0.590449 0.180013 0.57408
0.374681 0.178421 0.611877
0.547574 0.16546 0.631699
