2016 0.012625
0.380565 0.25998 0.382902
0.430222 0.221697 0.3322
0.460558 0.193207 0.315405
0.496766 0.187281 0.315177
0.527355 0.189104 0.325036
0.561132 0.218611 0.345369
0.337669 0.217624 0.425667
0.346882 0.284994 0.348887
0.437417 0.29033 0.300861
0.499094 0.280651 0.289081
0.572699 0.289861 0.313001
0.637942 0.26089 0.363999
0.334847 0.201299 0.46479
0.297452 0.284203 0.433387
0.425356 0.390157 0.419967
0.501041 0.387561 0.414515
0.594722 0.38531 0.428755
0.695114 0.257081 0.43766
0.323503 0.195366 0.493565
0.292238 0.279369 0.505071
0.42782 0.390388 0.501781
0.506429 0.387343 0.499949
0.598211 0.38025 0.501656
0.703986 0.243989 0.504961
0.332565 0.20081 0.527084
0.315493 0.277207 0.580374
0.427183 0.373627 0.605245
0.498175 0.374564 0.606313
0.58657 0.375225 0.591006
0.686539 0.240934 0.561951
0.353715 0.250856 0.56693
0.370344 0.233143 0.625657
0.435919 0.246376 0.679273
0.499019 0.244627 0.697939
0.559696 0.264749 0.689915
0.635997 0.260098 0.625233
0.35646 0.245257 0.359634
0.354779 0.24411 0.570725
0.286002 0.252068 0.510043
0.587973 0.382906 0.494382
0.444501 0.332481 0.666192
0.540319 0.19028 0.311472
0.346407 0.215435 0.581596
0.364632 0.249295 0.582244
0.66244 0.199594 0.481955
0.47033 0.181766 0.291519
0.612769 0.252921 0.610718
0.64564 0.268021 0.629091
0.509262 0.303893 0.691437
0.498228 0.387845 0.536091
0.61197 0.377433 0.467518
0.662701 0.204663 0.467794
0.311255 0.201968 0.543413
0.39762 0.246641 0.363173
0.532354 0.227777 0.688815
0.362045 0.224873 0.613785
0.351663 0.257305 0.63665
0.413599 0.370466 0.608822
0.321696 0.202719 0.550479
0.525653 0.366129 0.622314
0.403044 0.242749 0.626945
0.672366 0.198751 0.563732
0.532942 0.383015 0.546871
0.43738 0.261581 0.684851
0.660497 0.231226 0.594332
0.45674 0.389642 0.500946
0.481362 0.20118 0.685487
0.671803 0.218331 0.576712
0.576173 0.385373 0.475702
0.652456 0.216848 0.574687
0.513404 0.235125 0.693764
0.327413 0.211597 0.421166
0.340244 0.219792 0.587235
0.295311 0.240839 0.427116
0.646343 0.292988 0.62747
0.689637 0.253017 0.426189
0.452581 0.389523 0.426671
0.539196 0.190641 0.309016
0.471883 0.245299 0.698985
0.467584 0.192936 0.674957
0.564129 0.382899 0.52689
0.518331 0.386563 0.498647
0.541401 0.201669 0.662943
0.623637 0.321433 0.351081
0.475035 0.38649 0.469
0.700718 0.271397 0.533769
0.389096 0.368816 0.590786
0.316547 0.286102 0.573783
0.678377 0.217418 0.407587
0.403683 0.231841 0.634792
0.650118 0.314217 0.614133
0.469561 0.387402 0.444371
0.358123 0.233044 0.617343
0.507887 0.386482 0.46976
0.333733 0.277247 0.622063
0.645936 0.322183 0.376724
0.452045 0.388416 0.4121
0.323322 0.195476 0.52107
0.662994 0.268001 0.613205
0.370101 0.232269 0.596715
0.531531 0.208073 0.660103
0.68625 0.203448 0.463644
0.664518 0.261963 0.388643
0.52932 0.29147 0.69577
0.430086 0.298796 0.675175
0.319289 0.200967 0.546036
0.448429 0.313626 0.677528
0.641003 0.257826 0.619221
0.284648 0.207102 0.457584
0.282845 0.217637 0.4572
0.41884 0.221993 0.313143
0.695099 0.222918 0.441628
0.690425 0.20595 0.435593
0.530898 0.196964 0.299071
0.698523 0.237718 0.451762
0.671513 0.241558 0.5895
0.550156 0.332831 0.663262
0.281868 0.247876 0.460231
0.509174 0.259046 0.284413
0.687241 0.292182 0.538375
0.435374 0.272832 0.295062
0.644816 0.217695 0.375227
0.578741 0.383586 0.501772
0.339098 0.253458 0.627282
0.524589 0.252424 0.698284
0.282506 0.222168 0.496934
0.474774 0.385536 0.398333
0.671635 0.201834 0.477103
0.699376 0.217942 0.497488
0.523868 0.382384 0.561841
0.513528 0.386804 0.444561
0.666772 0.340337 0.465361
0.437242 0.211425 0.666562
0.377245 0.250811 0.378177
0.571591 0.342398 0.332468
0.559198 0.375885 0.376421
0.48265 0.237755 0.697244
0.456591 0.27755 0.290042
0.528646 0.38575 0.500228
0.624379 0.233135 0.374029
0.416788 0.219897 0.328363
0.693915 0.21082 0.448479
0.618901 0.230168 0.367291
0.422313 0.391112 0.449361
0.407415 0.256037 0.628447
0.279827 0.216022 0.485325
0.617115 0.375552 0.458993
0.684086 0.203202 0.454361
0.486311 0.332174 0.312955
0.519729 0.206409 0.291438
0.429444 0.216557 0.65866
0.393968 0.381589 0.540201
0.527556 0.204768 0.677293
0.664162 0.324454 0.403543
0.440262 0.389708 0.420095
0.569605 0.209406 0.658964
0.391713 0.241472 0.651362
0.304276 0.226262 0.548058
0.663309 0.206707 0.462925
0.378678 0.237841 0.63529
0.34653 0.360973 0.494901
0.382706 0.242747 0.367136
0.38816 0.23032 0.624778
0.50273 0.386366 0.474314
0.543031 0.295991 0.302642
0.529489 0.291277 0.695414
0.578286 0.213503 0.340917
0.643433 0.356648 0.521373
0.34818 0.362076 0.491186
0.317556 0.188638 0.481036
0.492291 0.365411 0.6272
0.316918 0.2688 0.593801
0.347651 0.334816 0.60574
0.573967 0.221687 0.653689
0.373542 0.285563 0.651041
0.458551 0.375265 0.370665
0.664822 0.206493 0.459637
0.550364 0.218889 0.647874
0.527411 0.384223 0.398608
0.569979 0.212363 0.657494
0.296335 0.244085 0.540038
0.288424 0.23447 0.51554
0.319091 0.255435 0.601598
0.667235 0.205266 0.464014
0.334328 0.218403 0.419673
0.505452 0.211735 0.287111
0.66656 0.33897 0.489921
0.676438 0.325593 0.460779
0.543086 0.242736 0.29625
0.451557 0.304698 0.303746
0.306186 0.302507 0.516408
0.685693 0.259098 0.419871
0.29502 0.263502 0.536361
0.38566 0.299237 0.325377
0.445023 0.30751 0.306006
0.413003 0.227715 0.643298
0.650029 0.217922 0.384938
0.314972 0.194297 0.519939
0.704512 0.254824 0.505014
0.314236 0.190389 0.488727
0.431848 0.243068 0.674303
0.523242 0.209629 0.665455
0.321146 0.27987 0.596052
0.602194 0.363366 0.60748
0.41953 0.218699 0.317259
0.357991 0.238298 0.580886
0.436926 0.27764 0.296562
0.559858 0.228143 0.310371
0.305773 0.190346 0.509947
0.402532 0.317793 0.66006
0.627546 0.226901 0.370827
0.704133 0.257476 0.517256
0.694627 0.248183 0.546773
0.570736 0.379224 0.568927
0.305326 0.278309 0.550175
0.38431 0.381181 0.501471
0.315307 0.251887 0.388165
0.30004 0.240886 0.546028
0.52298 0.191486 0.30495
0.320525 0.193445 0.468621
