5328 0.012625
0.387364 0.720594 0.409538
0.403331 0.626291 0.305489
0.490139 0.668858 0.24225
0.505983 0.679424 0.244619
0.523014 0.641858 0.248248
0.579789 0.610384 0.330153
0.317382 0.679631 0.410524
0.347564 0.659113 0.348281
0.421591 0.695867 0.293285
0.483989 0.193645 0.305996
0.576026 0.686999 0.287557
0.598735 0.631517 0.370357
0.264878 0.657573 0.468951
0.281708 0.727788 0.483361
0.399556 0.46349 0.390816
0.512968 0.511924 0.311643
0.586203 0.521695 0.424451
0.730381 0.668281 0.460191
0.244233 0.644389 0.461746
0.320629 0.384573 0.486506
0.300709 0.534162 0.510908
0.690853 0.790086 0.591908
0.663576 0.554092 0.510576
0.661772 0.197933 0.494897
0.260023 0.632205 0.503936
0.263249 0.662769 0.569436
0.451779 0.727472 0.61234
0.49657 0.482306 0.650709
0.563471 0.649582 0.557771
0.701011 0.70065 0.522997
0.36187 0.678949 0.600191
0.371543 0.566701 0.615183
0.424413 0.614603 0.704473
0.491956 0.238832 0.689219
0.537299 0.726649 0.679478
0.632978 0.594083 0.634829
0.37637 0.683648 0.393843
0.363452 0.671864 0.600338
0.34377 0.181009 0.488302
0.673509 0.516551 0.495633
0.427327 0.735017 0.680187
0.508982 0.690355 0.242848
0.324295 0.60172 0.580354
0.37457 0.664916 0.603689
0.720271 0.605701 0.506189
0.50871 0.735678 0.295185
0.61028 0.646351 0.631812
0.670451 0.633177 0.638209
0.501472 0.251536 0.692258
0.56958 0.572612 0.736898
0.631945 0.582332 0.462861
0.703342 0.612178 0.469113
0.247844 0.705432 0.514273
0.402903 0.693654 0.382287
0.514816 0.652851 0.644411
0.363879 0.553153 0.609599
0.329865 0.618036 0.625036
0.444565 0.742789 0.594576
0.234214 0.647443 0.480321
0.525757 0.493218 0.623778
0.397151 0.685949 0.618723
0.733952 0.632306 0.551851
0.579298 0.47888 0.619874
0.438893 0.629048 0.72424
0.664538 0.603963 0.613946
0.242272 0.650567 0.582552
0.500311 0.724754 0.704581
0.705039 0.601928 0.5774
0.656176 0.527702 0.446419
0.66086 0.593343 0.605255
0.500491 0.346459 0.67304
0.30963 0.661632 0.406395
0.30726 0.591747 0.564754
0.286993 0.724963 0.493412
0.66777 0.7032 0.623695
0.704766 0.645833 0.425069
0.410175 0.489828 0.365516
0.50849 0.703737 0.248557
0.482884 0.261626 0.694752
0.477292 0.616279 0.74127
0.615442 0.515506 0.563135
0.749763 0.730517 0.557463
0.524392 0.583657 0.718269
0.628653 0.708397 0.33108
0.35412 0.653169 0.283396
0.655245 0.178906 0.508399
0.413965 0.73693 0.562943
0.270523 0.656132 0.571607
0.687682 0.628491 0.40791
0.402934 0.667565 0.619496
0.659107 0.720232 0.60366
0.393733 0.499717 0.316173
0.35631 0.553231 0.61441
0.631848 0.634334 0.274496
0.313145 0.688842 0.605676
0.653882 0.718697 0.364475
0.434539 0.568271 0.374253
0.240067 0.64091 0.464657
0.688374 0.664119 0.611557
0.384056 0.641655 0.598835
0.519854 0.592327 0.719667
0.711697 0.690632 0.498844
0.622374 0.604756 0.37954
0.508898 0.229451 0.685548
0.40556 0.671518 0.712166
0.228564 0.657144 0.472955
0.436668 0.722873 0.69563
0.637717 0.599092 0.630728
0.315431 0.282889 0.482047
0.316279 0.229801 0.481045
0.419802 0.663672 0.282327
0.638773 0.570627 0.488561
0.735261 0.68083 0.479162
0.519715 0.737378 0.297735
0.683472 0.298486 0.471109
0.698429 0.627039 0.591936
0.554588 0.713097 0.677444
0.335081 0.213238 0.479772
0.487688 0.201908 0.344336
0.62967 0.603212 0.508943
0.45009 0.684851 0.267752
0.602866 0.577667 0.389054
0.681156 0.503693 0.516675
0.314425 0.649567 0.606612
0.499832 0.20441 0.681859
0.321268 0.233562 0.489392
0.459195 0.598488 0.339292
0.734407 0.625821 0.502062
0.681317 0.28281 0.486808
0.555932 0.534508 0.62591
0.569992 0.499882 0.283349
0.665322 0.642687 0.481201
0.400655 0.621596 0.677474
0.384753 0.709737 0.405933
0.541042 0.761089 0.346301
0.532219 0.63336 0.387327
0.487367 0.263972 0.692062
0.479174 0.381903 0.313857
0.760686 0.650074 0.56782
0.584905 0.658212 0.388224
0.394671 0.625865 0.308124
0.659452 0.639906 0.494432
0.581522 0.635285 0.382868
0.365566 0.461805 0.402401
0.389766 0.68661 0.621312
0.324216 0.271773 0.489092
0.637175 0.641569 0.468707
0.737357 0.677162 0.491644
0.484713 0.344595 0.305347
0.498142 0.496301 0.346131
0.396202 0.620004 0.652437
0.369377 0.528643 0.543636
0.519856 0.633626 0.743902
0.68564 0.723706 0.397096
0.409088 0.482731 0.379435
0.553233 0.581019 0.696198
0.378737 0.600507 0.632944
0.292024 0.733594 0.527442
0.690188 0.618409 0.452114
0.375464 0.579592 0.620858
0.343741 0.480092 0.506635
0.394951 0.689508 0.388038
0.395817 0.652196 0.610568
0.618382 0.705285 0.27383
0.538812 0.738619 0.319834
0.509013 0.235569 0.685582
0.584673 0.598062 0.333296
0.636075 0.575057 0.513833
0.33863 0.473214 0.503463
0.23923 0.67871 0.50307
0.486986 0.487242 0.644116
0.266121 0.689298 0.573386
0.342946 0.765596 0.57208
0.577962 0.597185 0.687296
0.342613 0.638524 0.645246
0.455546 0.701461 0.338106
0.68618 0.620694 0.445517
0.564072 0.612016 0.684661
0.5423 0.56256 0.35841
0.558206 0.584542 0.693954
0.344378 0.684407 0.496511
0.325395 0.184608 0.489765
0.261631 0.676949 0.572677
0.703436 0.610914 0.464133
0.31862 0.67018 0.405725
0.480605 0.305924 0.31585
0.665458 0.411826 0.487113
0.707424 0.685252 0.464155
0.515362 0.733881 0.333357
0.433572 0.693474 0.290835
0.31147 0.726296 0.524846
0.69168 0.643382 0.402854
0.322348 0.724796 0.507853
0.371083 0.70945 0.311656
0.414993 0.700064 0.305098
0.404904 0.651964 0.625857
0.613561 0.569145 0.392376
0.240021 0.690177 0.505283
0.651749 0.19468 0.496501
0.260831 0.703294 0.529446
0.398866 0.616462 0.696659
0.515094 0.598745 0.727344
0.272328 0.664159 0.580351
0.586594 0.726092 0.586867
0.411603 0.659472 0.288545
0.365849 0.653289 0.601053
0.439936 0.685648 0.275918
0.546732 0.66073 0.263963
0.285751 0.730849 0.516339
0.382513 0.724679 0.661219
0.585261 0.635457 0.385688
0.6516 0.198988 0.500326
0.679264 0.279581 0.506238
0.570853 0.56057 0.555082
0.273406 0.700085 0.562199
0.341974 0.593722 0.517484
0.272437 0.661327 0.386016
0.311401 0.73532 0.512255
0.514877 0.716957 0.267457
0.237507 0.653784 0.467181
0.479952 0.226572 0.315194
0.475319 0.23704 0.316022
0.394052 0.625035 0.312139
0.312903 0.692101 0.359364
0.539676 0.582076 0.388558
0.594934 0.625658 0.397245
0.265571 0.628313 0.525404
0.695317 0.693463 0.515803
0.262606 0.655821 0.441921
0.467527 0.731232 0.660783
0.524626 0.659731 0.245375
0.426158 0.6512 0.279266
0.545823 0.714545 0.681024
0.64941 0.576195 0.397746
0.477821 0.249782 0.313896
0.742332 0.588523 0.574506
0.305369 0.735044 0.500686
0.577284 0.674334 0.292152
0.509678 0.492502 0.288267
0.534465 0.716201 0.705658
0.269461 0.707685 0.558569
0.242902 0.689513 0.500455
0.284431 0.700963 0.571334
0.330913 0.419697 0.499128
0.670885 0.168248 0.482063
0.635095 0.487378 0.502587
0.599314 0.688602 0.456356
0.334662 0.616683 0.634543
0.512642 0.672251 0.737998
0.513523 0.66452 0.326948
0.549652 0.619309 0.724061
0.560837 0.627619 0.280217
0.36832 0.587104 0.605431
0.378062 0.640098 0.317628
0.326666 0.726058 0.38903
0.331914 0.706073 0.350444
0.523262 0.581912 0.618942
0.474822 0.229154 0.317566
0.515585 0.733345 0.296488
0.52879 0.547537 0.356362
0.315287 0.703751 0.478218
0.320185 0.203871 0.489693
0.64306 0.712444 0.574663
0.578185 0.617917 0.311225
0.608897 0.588092 0.640773
0.590772 0.732804 0.590991
0.453677 0.723293 0.391923
0.434935 0.583758 0.367213
0.470665 0.511213 0.31043
0.378114 0.683941 0.402096
0.523615 0.618527 0.740354
0.5882 0.598359 0.33153
0.745431 0.678343 0.521875
0.604482 0.587505 0.672931
0.61644 0.4825 0.417229
0.66621 0.173045 0.484605
0.514728 0.712852 0.278246
0.35575 0.664023 0.356058
0.481234 0.340697 0.682638
0.744384 0.681006 0.51627
0.610046 0.460107 0.576688
0.342484 0.650549 0.458179
0.271973 0.716859 0.539189
0.664238 0.585561 0.606991
0.419965 0.733086 0.333036
0.487821 0.233138 0.310224
0.510352 0.454836 0.632732
0.528533 0.526546 0.610024
0.323348 0.234112 0.488377
0.35032 0.67494 0.343862
0.657263 0.668853 0.536831
0.366947 0.749212 0.357189
0.257044 0.70668 0.540474
0.472276 0.213362 0.323884
0.734215 0.701837 0.501036
0.597908 0.618262 0.398561
0.381073 0.682847 0.540115
0.64986 0.6036 0.478782
0.499825 0.31236 0.681859
0.65677 0.174286 0.487959
0.706318 0.714358 0.523491
0.629555 0.605577 0.379345
0.56333 0.664007 0.280448
0.326771 0.537329 0.306025
0.396821 0.669614 0.620962
0.746752 0.67708 0.518479
0.296496 0.479479 0.533509
